title,iframe,imageurl
1,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl1.html,blank.png
100 Rooms Of Enemies,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl100RoomsOfEnemies.html,blank.png
10buets,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl10bullets.html,blank.png
10minutestidawn,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl10minutestildawn.html,blank.png
10morebuets,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl10morebullets.html,blank.png
12minibattes,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl12minibattles.html,blank.png
13bones,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl13bones.html,blank.png
1on1soer,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl1on1soccer.html,blank.png
1v1o,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl1v1lol.html,blank.png
1v1tennis,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl1v1tennis.html,blank.png
2048,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl2048.html,blank.png
2048upakes,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl2048cupcakes.html,blank.png
20smamazes,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl20smallmazes.html,blank.png
234payergame,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl234playergame.html,blank.png
2 Dshooting,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl2Dshooting.html,blank.png
2doom,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl2doom.html,blank.png
3dash,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3dash.html,blank.png
3dasheditor,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3dasheditor.html,blank.png
3dpinbaspaeadet,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3dpinballspacecadet.html,blank.png
3pandas,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3pandas.html,blank.png
3pandasbrazi,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3pandasbrazil.html,blank.png
3pandasfantasy,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3pandasfantasy.html,blank.png
3pandasjapan,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3pandasjapan.html,blank.png
3pandasnight,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3pandasnight.html,blank.png
3sies2,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl3slices2.html,blank.png
40xesape,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl40xescape.html,blank.png
4thandgoa,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl4thandgoal.html,blank.png
500aiberontratz,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl500calibercontractz.html,blank.png
60seondsburgerrun,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl60secondsburgerrun.html,blank.png
60seondssantarun,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl60secondssantarun.html,blank.png
64in1nes,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl64in1nes.html,blank.png
8baassi,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl8ballclassic.html,blank.png
8bapoo,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl8ballpool.html,blank.png
9007199254740992,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl9007199254740992.html,blank.png
99bas,https://raw.githubusercontent.com/bubbls/ugs-singlefile/refs/heads/main/UGS-Files/cl99balls.html,blank.png
